impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K22-146387,A664569,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2440272,LOST,Asia,Cat,Over 1 year<p/>,Female,American Shorthair,Unknown,"May 20, 2022",Date Lost,42ND  AND SOUTHCENTER BLVD,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2440272,Image Copyright HLP Inc. 2022,"Description: Gray small tabby <p/>Age: Over 1 year<p/>Location Lost: 42nd and southcenter blvd , Seattle WA  98188<p/>Lost Date: 2022-05-20<p/>",
K22-145435,A662146,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2426060,LOST,Jynx,Cat,Over 1 year<p/>,Female,Domestic Shorthair,Unknown,"Apr 16, 2022",Date Lost,NE  20TH ST NORTHUP WAY,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2426060,Image Copyright HLP Inc. 2022,"Description: Tortoise shell calico, 3 years old, smaller in size<p/>Age: Over 1 year<p/>Location Lost: Ne 20th st northup way, Bellevue WA  98005<p/>Lost Date: 2022-04-16<p/>",
K22-146293,A664359,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2438921,LOST,Mandi Jackso,Cat,Under 1 year<p/>,Male,Domestic Mediumhair,Black / White,"May 05, 2022",Date Lost,29200 block of  188TH AVENUE SOUTHEAST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2438921,Image Copyright HLP Inc. 2022,"Description: Tuxedo: mostly black body with White chest, belly, 4 Paws and whiskers<p/>Age: Under 1 year<p/>Location Lost: 29251 188th Avenue Southeast, Kent WA  98042<p/>Notes: Lost Date: May  5 202<p/>Lost Date: May  5 202<p/>",
K22-145993,A663644,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A663644,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Charlie Bucket,Cat,2 YEARS,Neutered Male,Domestic Shorthair,Orange,"May 09, 2022",Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A663644,Image Copyright HLP Inc. 2022,"Received on: 2022-05-09<p/> Description: Orange<p/>  Neutered Male Domestic Shorthair Cat<p/> Age: 2 YEARS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Charlie Bucket and I am available for adoption. I may just be your golden ticket! <p/><p/>I was brought in by a good Samaritan on 05/09/22.<p/><p/>I like getting attention on my own terms. I can get overstimulated with petting, so please move carefully with me and keep an eye out for signs that I might need a break.<p/><p/>My caregivers have noticed that I do not seem to get along with other cats, so I may do best as the only cat in my new home.<p/><p/>My personality color is RED. I am a spirited cat with a fun-loving personality! I may be sensitive to handling, so I would do best in a home with a cat savvy family who knows when to give me some space.<p/>",RED
K22-145986,A663571,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2434966,LOST,Candy,Dog,Over 1 year<p/>,Female,Shih Tzu,White,"May 07, 2022",Date Lost,JUANITA  WAY AND 141ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2434966,Image Copyright HLP Inc. 2022,"<p/>Age: Over 1 year<p/>Location Lost: Juanita Way and 141st, Kirkland WA  98034<p/>Lost Date: 2022-05-07<p/>",
K22-146076,A663810,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2435969,LOST,Leo,Cat,Over 1 year<p/>,Male,Colorpoint,Unknown,"May 09, 2022",Date Lost,27600 block of  125TH AVE SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2435969,Image Copyright HLP Inc. 2022,"Description: Lynx Point, Male, the end of his tail is little broken<p/>Age: Over 1 year<p/>Location Lost: 27609 125th Ave Se, Kent WA  98030<p/>Lost Date: 2022-05-09<p/>",
K22-145898,A663352,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2433371,In Public Home,Ruth-Anne Sh,Cat,Unknown<p/>,Unknown,Domestic Mediumhair,Unknown,"May 01, 2022",Date Found,10000 block of  SE 244TH CT,KENT,WA,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2433371,Image Copyright HLP Inc. 2022,"Description: Cat #1: Dark grey with stripes, shaved top mid section and hair is growing back, Cat #2: Golden/tan with stripes<p/>Age: Unknown<p/>Found Near: 10000 block of  SE 244TH CT<p/>Found Date: 2022-05-01<p/>",
K22-145426,A662122,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A662122,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Lu,Dog,7 YEARS 1 MONTH,Spayed Female,Pit Bull,Brown / White,"Apr 19, 2022",Received on,11000 block of  1ST AVE S,SEATTLE,WA,98168,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A662122,Image Copyright HLP Inc. 2022,"Received on: 2022-04-19<p/> Found Near: 11000 block of  1ST AVE S<p/> Description: Brown / White Spayed Female Pit Bull Dog<p/> Age: 7 YEARS 1 MONTH<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",GREEN
K22-146265,A664297,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,8 WEEKS,Female,Domestic Mediumhair,Black,"May 17, 2022",Received on,26400 block of  164TH AVE SE,COVINGTON,WA,98042,COVINGTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A664297,Image Copyright HLP Inc. 2022,Received on: 2022-05-17<p/> Found Near: 26400 block of  164TH AVE SE<p/> Description: Black Female Domestic Mediumhair Cat<p/> Age: 8 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,
K22-145786,A663051,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2431408,LOST,Tofico,Dog,Over 1 year<p/>,Male,Toy Poodle,White,"Apr 30, 2022",Date Lost,ADDRESS:  18740 INTERNATIONAL BLVD,SEATTLE,WA,98188,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2431408,Image Copyright HLP Inc. 2022,"Description: 17 year old male dog, patchy beige hair. Both eyes have cataracts and he limps from hind legs. Hard of hearing/borderline deaf and eyesight is very poor. Wasn't wearing a collar at the time. Not fast at all and is very senile. Left hotel room at the DoubleTree and must have escaped through the balcony on the 3rd floor (East side). Security and environmental services have been notified.<p/>Age: Over 1 year<p/>Location Lost: Address: 18740 International Blvd, Seattle, WA 98188, Seattle WA  98188<p/>Lost Date: 2022-04-30<p/>",
K22-146410,A664614,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A664614,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,4 WEEKS,Unknown,Domestic Shorthair,Orange,"May 21, 2022",Received on,10200 block of  AQUA WAY S,SEATTLE,WA,98168,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A664614,Image Copyright HLP Inc. 2022,"Received on: 2022-05-21<p/> Found Near: 10200 block of  AQUA WAY S<p/> Description: Orange Unknown Domestic Shorthair Cat<p/> Age: 4 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K22-145992,A663642,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2435134,LOST,Baby Little,Cat,Under 1 year<p/>,Female,Domestic Shorthair,Unknown,"May 07, 2022",Date Lost,"3000 block of  NE 137TH ST,",,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2435134,Image Copyright HLP Inc. 2022,"Description: She is almost 1 years old black and white she has a black circle on her side and has one on her lip that makes her look like she has a mustache and beard on her lower chin area <p/>Age: Under 1 year<p/>Location Lost: 3052 ne 137th st, Apt 9, Seattle WA  98125<p/>Lost Date: 2022-05-07<p/>",
K22-144764,A435567,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A435567,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Jinxie,Cat,11 YEARS,Spayed Female,Domestic Shorthair,White / Gray Tabby,"Mar 21, 2022",Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A435567,Image Copyright HLP Inc. 2022,"Received on: 2022-03-21<p/> Description: White / Gray Tabby<p/>  Spayed Female Domestic Shorthair Cat<p/> Age: 11 YEARS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Jinxie and I am available for adoption.<p/><p/>I was brought in by my previous owner on 3/21/22 because they could not longer care for me. <p/><p/>I like getting attention on my own terms. I can get overstimulated with petting, so please move carefully with me and keep an eye out for signs that I might need a break.<p/><p/>I am litter trained! I like to stand when using the litter box so I would prefer that I am provided with a high sided or covered litterbox. <p/><p/>Because of my shy nature, I would do best in a calm, quiet home.<p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/>",BLUE
K22-145988,A663590,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2435029,LOST,Socks,Cat,Over 1 year<p/>,Female,Domestic Mediumhair,Black,"May 06, 2022",Date Lost,"25000 block of  97TH PL S,",APT APT,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2435029,Image Copyright HLP Inc. 2022,"Description: Black and white domestic <p/>Age: Over 1 year<p/>Location Lost: 25012 97th PL S, Apt J107, Apt J107, Kent WA  98030<p/>Lost Date: 2022-05-06<p/>",
K22-145921,A663441,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2433858,LOST,Tish,Cat,Over 1 year<p/>,Female,Domestic Shorthair,Black,"May 02, 2022",Date Lost,14700 block of  173 AVE NE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2433858,Image Copyright HLP Inc. 2022,"Description: Female, not spayed. Mostly black cat with small white spot under the chin, small brown markings on side. petite build/slim build.<p/>Age: Over 1 year<p/>Location Lost: 14719 173 AVE NE, Woodinville WA  98072<p/>Lost Date: 2022-05-02<p/>",
K22-146271,A664309,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2438658,LOST,Ninja,Cat,Over 1 year<p/>,Unknown,Domestic Longhair,Black,"May 13, 2022",Date Lost,240TH  AND HIGHWAY169 IN MAPLE VALLEY,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2438658,Image Copyright HLP Inc. 2022,"Description: He is the most loving and trusting very talkative cat I have ever met! He is black with a redishbrown tint to his coat while in the sun... He has white paws and his eyebrow wiskers are black on side and whit on the other they look as if he doesnt have any also one side of his face on his eye looks like his eyelashes are gone or it is a scar... one of the two.. he has white chest. He has a very LONG tail...<p/>Age: Over 1 year<p/>Location Lost: 240th and Highway169 in maple valley, Maple Valley WA  98038<p/>Lost Date: 2022-05-13<p/>",
K22-146199,A664117,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2437627,LOST,Macaroni,Cat,Over 1 year<p/>,Male,Domestic Longhair,Black,"May 12, 2022",Date Lost,27400 block of  226TH AVE. SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2437627,Image Copyright HLP Inc. 2022,"<p/>Age: Over 1 year<p/>Location Lost: 27430 226TH AVE. SE, Maple Valley WA  98038<p/>Lost Date: 2022-05-12<p/>",
K22-146126,A663916,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A663916,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,2 YEARS,Male,Domestic Shorthair,Black,"May 12, 2022",Received on,28500 block of  46TH AVE S,AUBURN,WA,98001,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A663916,Image Copyright HLP Inc. 2022,"Received on: 2022-05-12<p/> Found Near: 28500 block of  46TH AVE S<p/> Description: Black Male Domestic Shorthair Cat<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K22-145202,A661117,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2420894,In Public Home,,Guinea Pig,Unknown<p/>,Unknown,,Unknown,"Apr 09, 2022",Date Found,KILLARNEY  PARK,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2420894,Image Copyright HLP Inc. 2022,"Description: I Found a clearly abused and abandoned guinea pig. Its cage was open and a sheet of paper that said ""please, take me home"" on top of it. I unfortunately cannot take this animal home and no one helps me. <p/>Age: Unknown<p/>Found Near: Killarney park, Seattle WA  98188<p/>Found Date: 2022-04-09<p/>",
K22-146370,A664525,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2440092,LOST,Kara,Cat,Over 1 year<p/>,Female,American Shorthair,Unknown,"May 19, 2022",Date Lost,1000 block of  S 308TH ST,FEDERAL WAY,WA,98003,FEDERAL WAY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2440092,Image Copyright HLP Inc. 2022,"Description: Grey tabby with white chin and green eyes.<p/>Age: Over 1 year<p/>Location Lost: 1003 s 308th st, Federal Way WA  98003<p/>Lost Date: 2022-05-19<p/>",
K22-146250,A664262,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2438432,In Public Home,,Dog,Over 1 year<p/>,Female,Siberian Husky,Unknown,"May 16, 2022",Date Found,RUSSELL  RD AND W MEEKER ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2438432,Image Copyright HLP Inc. 2022,"Description: Found near Green River Trail next to Riverbend Driving Range. Female husky with teal collar. Recently groomed.<p/>Age: Over 1 year<p/>Found Near: Russell Rd and W Meeker ST, Kent WA  98032<p/>Found Date: 2022-05-16<p/>",
K22-146245,A664243,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2438263,LOST,Lizzie,Cat,Over 1 year<p/>,Female,American Shorthair,Unknown,"May 04, 2022",Date Lost,S  202 STREET AND 92ND AVE S,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2438263,Image Copyright HLP Inc. 2022,"Description: Five year old small gray tabby with white on nose, brown nose, white chin, chest, and paws. Green eyes.<p/>Age: Over 1 year<p/>Location Lost: S 202 Street and 92nd Ave S, Kent WA  98031<p/>Lost Date: 2022-05-04<p/>",
K22-145929,A663456,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2433914,LOST,Tish,Cat,Over 1 year<p/>,Female,Domestic Shorthair,Black,"May 02, 2022",Date Lost,14700 block of  173 AVE NE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2433914,Image Copyright HLP Inc. 2022,"Description: Female, not spayed. Mostly black cat with small white spot under the chin, small brown markings on side. petite build/slim build.<p/>Age: Over 1 year<p/>Location Lost: 14719 173 AVE NE, Woodinville WA  98072<p/>Lost Date: 2022-05-02<p/>",
K22-146180,A664057,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2437133,In Public Home,Carrie Foy,Dog,Over 1 year<p/>,Female,Chow Chow,Unknown,"May 13, 2022",Date Found,S  244TH ST AND MILITARY ROAD,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2437133,Image Copyright HLP Inc. 2022,"Description: Female, older lady, looks like a German Sheppard chow chow mix, tan undercoat with black overcoat, has a snaggle tooth, 40ish lbs<p/>Age: Over 1 year<p/>Found Near: S 244th St and Military Road, Kent WA  98032<p/>Found Date: 2022-05-13<p/>",
K22-145335,A661667,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2423580,LOST,Sushi,Cat,Over 1 year<p/>,Female,Domestic Shorthair,Unknown,"Apr 13, 2022",Date Lost,S  170TH ST AND 46TH PL S,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2423580,Image Copyright HLP Inc. 2022,"Description: Mostly gray but with white markings and nose<p/>Age: Over 1 year<p/>Location Lost: S 170th st and 46th pl s , Seattle WA  98188<p/>Lost Date: 2022-04-13<p/>",
K22-146176,A664039,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2437048,LOST,Shadow,Cat,Over 1 year<p/>,Male,Domestic Shorthair,Black,"May 01, 2022",Date Lost,1800 block of  156TH AVE NE BELLEVUE WA,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2437048,Image Copyright HLP Inc. 2022,"Description: Shadow usually comes home after a day or so but never returned I filled one of these out before and he has been picked up before by u guys when we lived in Kent we were able to get him out he is licenced and shots updated only problem is he is not fixed tho if by chance anyone seen him he is a pet he is not feerow please contact me at 2066654021 My name is Mia<p/>Age: Over 1 year<p/>Location Lost: 1840 156th AVE NE Bellevue WA, Bellevue WA  98007<p/>Lost Date: 2022-05-01<p/>",
K22-145694,A662832,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2430098,LOST,Oscar/ Yamra,Cat,Over 1 year<p/>,Unknown,Domestic Shorthair,Unknown,"Apr 26, 2022",Date Lost,12800 block of  SE 225TH CT,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2430098,Image Copyright HLP Inc. 2022,"<p/>Age: Over 1 year<p/>Location Lost: 12845 se 225th ct, Kent WA  98031<p/>Lost Date: 2022-04-26<p/>",
K22-145254,A661410,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2422311,LOST,Becca,Dog,Over 1 year<p/>,Female,Chihuahua - Smooth Coated,White,"Apr 08, 2022",Date Lost,18400 block of  NE 95TH ST,REDMOND,WA,98052,REDMOND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2422311,Image Copyright HLP Inc. 2022,"Description: She is part Corgi/Chihuahua, long ears, mostly white now, 14 yo, 13 lbs.  Maybe confused, demented.<p/>Age: Over 1 year<p/>Location Lost: 18425 NE 95th St, Redmond WA  98052<p/>Lost Date: 2022-04-08<p/>",
K22-146390,A664579,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2440413,In Public Home,Payton Lunsf,Dog,Under 1 year<p/>,Male,Alaskan Husky,White,"May 20, 2022",Date Found,11000 block of  SE 240TH ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2440413,Image Copyright HLP Inc. 2022,Description: Male Healy puppy<p/>Age: Under 1 year<p/>Found Near: 11000 block of  SE 240TH ST <p/>Found Date: 2022-05-20<p/>,
K22-145975,A663546,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,0 DAYS,Unknown,Domestic Shorthair,Gray / Gray,"May 08, 2022",Received on,21600 block of  64TH AVE S,KENT,WA,98032,KENT,,,,Image Copyright HLP Inc. 2022,Received on: 2022-05-08<p/> Found Near: 21600 block of  64TH AVE S<p/> Description: Gray / Gray Unknown Domestic Shorthair Cat<p/> Age: 0 DAYS<p/>,
K22-146177,A660700,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A660700,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Curly,Dog,3 YEARS 1 MONTH,Neutered Male,Siberian Husky,White,"May 13, 2022",Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A660700,Image Copyright HLP Inc. 2022,"Received on: 2022-05-13<p/> Description: White<p/>  Neutered Male Siberian Husky Dog<p/> Age: 3 YEARS 1 MONTH<p/> Adoption Fee: $225.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hiya there! My name is Curly and I am available for adoption. I weigh 70 lbs.<p/><p/>I was brought in by an Animal Control Officer on April 5, 2022 when I was found roaming at a park. I was adopted and returned recently because I was too strong for them.<p/><p/>I may be a little head shy at first, but I truly warm up very quickly!<p/><p/>I love toys and treats very much so and will ""sit"" for them.<p/><p/>My caregivers at RASKC have noticed that I seem to do well with other large dogs. When meeting dogs in a new home, I would do best with a slow introduction.<p/><p/>I am a husky so I will need to be brushed often! <p/><p/>I am very strong and energetic so I would do best in a home with older children.<p/><p/>My personality color is RED. I am a spirited dog with a fun-loving personality! I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be!<p/>",RED
K22-145774,A663029,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2431159,LOST,Oilver,Cat,Over 1 year<p/>,Male,Domestic Longhair,Brown,"Apr 29, 2022",Date Lost,SE  279TH PLACE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2431159,Image Copyright HLP Inc. 2022,"Description: Brown, black, and white long haired tabby. Name is Oliver. Lost on 04/29/2022. He ran out the door when I was visiting mom's home. Please help me get him back. He is really loved. <p/>Age: Over 1 year<p/>Location Lost: SE 279th Place, Maple Valley WA  98038<p/>Lost Date: 2022-04-29<p/>",
K22-146223,A664162,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2437876,LOST,Easter,Cat,Over 1 year<p/>,Female,American Shorthair,Black,"May 13, 2022",Date Lost,12000 block of  122ND AVE E,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2437876,Image Copyright HLP Inc. 2022,"Description: Skittish, small white patch on her chest, tiny meow.  sounds young and girlish.<p/>Age: Over 1 year<p/>Location Lost: 12007 122nd Ave E, Puyallup WA  98374<p/>Lost Date: 2022-05-13<p/>",
K22-145877,A663290,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2433040,LOST,Minky,Cat,Over 1 year<p/>,Male,Bombay,Black,"May 04, 2022",Date Lost,27300 block of  245TH AVE SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2433040,Image Copyright HLP Inc. 2022,"Description: all black, 13 years old neutered cat.  Indoor cat but escaped chasing another cat, may be injured.<p/>Age: Over 1 year<p/>Location Lost: 27368 245th Ave SE, Maple Valley WA  98038<p/>Lost Date: 2022-05-04<p/>",
K22-145947,A663492,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A663492,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Missy,Cat,11 YEARS,Spayed Female,Domestic Shorthair,Brn Tabby,"May 07, 2022",Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A663492,Image Copyright HLP Inc. 2022,"Received on: 2022-05-07<p/> Description: Brn Tabby<p/>  Spayed Female Domestic Shorthair Cat<p/> Age: 11 YEARS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Missy and I am available for adoption.<p/><p/>I was brought in by my previous owners family on 05/07/22 because my previous owner passed away. I have met men, women, and children and has got along with cats, dogs and bunnies. I've been indoor only. My previous owners family described me as loving, shy, likes being held, petted, and sit in your lap.<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>I can get overstimulated with petting, so please move carefully with me and keep an eye out for signs that I might need a break.<p/><p/>My caregivers have noticed that I seem to do well with other cats. When meeting cats in a new home, I would do best with a slow introduction.<p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/>",BLUE
K22-146175,A664038,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A664038,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Mooncake,Cat,1 YEAR,Spayed Female,Domestic Shorthair,Brn Tabby,"May 13, 2022",Received on,4600 block of  S 170TH ST,SEATAC,WA,98188,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A664038,Image Copyright HLP Inc. 2022,"Received on: 2022-05-13<p/> Found Near: 4600 block of  S 170TH ST<p/> Description: Brn Tabby Spayed Female Domestic Shorthair Cat<p/> Age: 1 YEAR<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
